caso,alpha,origen,destino,distancia_base_m,distancia_alternativa_m,incremento_distancia_pct,ier_base,ier_alternativo,reduccion_ier_pct,ruta_cambio
29,3.0,4464198679,11688082425,8736.05463416934,8736.05463416934,0.0,0.1857189244057312,0.1857189244057312,0.0,False
30,3.0,316479920,199456382,8912.607876733773,8913.16800239939,0.006284643881612989,0.1964786787389676,0.19644431061225925,0.017492038794705553,True
1,5.0,12557786965,206154801,10125.623855288999,10355.723620455885,2.2724502554644666,0.31421795043753814,0.2917102144120315,7.163096823133551,True
2,5.0,89283387,2300081764,12586.750278547654,13320.336213903121,5.828239371728555,0.32891409902072566,0.2146156056789719,34.75025658129405,True
3,5.0,1627144362,1139217432,15942.648439266402,16079.082572177227,0.8557808536678909,0.1746132401792858,0.1660519092597416,4.903025057409047,True
4,5.0,235355154,206119334,2592.8618900408283,2592.8618900408283,0.0,0.2316182917888654,0.2316182917888654,0.0,False
5,5.0,13638963688,11083496389,14863.15070056967,15987.570673411195,7.565152204225647,0.3000516275380722,0.2561462224661927,14.63261687067788,True
6,5.0,199799388,11861796818,9306.951026079172,9362.90327014587,0.6011876919725072,0.15524802829554082,0.15291842070569903,1.50057145035491,True
7,5.0,6034897129,92595950,5690.2062392180405,5695.394771465989,0.0911835534569553,0.2203418505182512,0.21972974546023352,0.2777979110994959,True
8,5.0,89573830,206105981,9275.662768958206,10215.536478796308,10.132685213432616,0.37338319761254124,0.23376674432647002,37.39226997325971,True
9,5.0,1015323414,1383156053,10382.064196327145,10534.324383318508,1.4665695001696124,0.1941329759430264,0.18709893816722087,3.6233090960650878,True
10,5.0,8638574824,12079521367,15789.050860818292,20147.243794992464,27.602627748760717,0.24417109341905224,0.11108952932526646,54.50340670154106,True
11,5.0,89318596,11462899302,15675.971942763943,15699.990472590776,0.1532187599884063,0.19292775897030573,0.19226745067862522,0.34225675724670707,True
12,5.0,471112549,12916778952,9450.524154291856,9545.695159835483,1.0070447309571295,0.16791814153103998,0.15796854283618747,5.925267278528873,True
13,5.0,11047216026,6034896758,6261.858246698843,6283.678567079481,0.3484639785983855,0.21759945524748048,0.20299027649912704,6.713793806026815,True
14,5.0,1067030423,6685636158,2010.5764457002997,2010.5764457002997,0.0,0.2910397119169709,0.2910397119169709,0.0,False
15,5.0,11851497880,2426029187,1258.4295950341655,1258.4295950341655,0.0,0.3596380731248534,0.3596380731248534,0.0,False
16,5.0,81917860,243462091,12974.550119034831,13966.554697262196,7.645772447801522,0.24104212321786705,0.1970349169811713,18.25706048768897,True
17,5.0,6034979261,4072735918,2641.5831093251245,2730.1329156786474,3.3521491730065494,0.3279695417927774,0.2835569801227783,13.541672628265122,True
18,5.0,2418484955,241968643,14973.401885536718,17464.80464320422,16.63885586397055,0.26156557476053044,0.1855883443200361,29.047106260085382,True
19,5.0,886393813,3846153504,6960.636511511439,7199.7100613949415,3.4346506887426917,0.2894745579466468,0.202073818618152,30.19289154406574,True
20,5.0,206119285,205501570,4251.3130513330325,4335.298261131044,1.9755122425453198,0.31094578159038544,0.2886892105576136,7.157701551356252,True
21,5.0,4525551515,206109370,14020.722700095603,16231.947017808347,15.771115120176125,0.382445448780658,0.18843612960184455,50.72862542811501,True
22,5.0,4456597250,4322661441,10021.017343144165,10146.104049860647,1.2482435907773306,0.20794323032464201,0.19938215251222147,4.117026459122978,True
23,5.0,12079633066,2153010956,11142.59536955801,11142.59536955801,0.0,0.30907375868602116,0.30907375868602116,0.0,False
24,5.0,190996837,7337715737,6799.045367168021,6799.045367168021,0.0,0.06709570471134325,0.06709570471134325,0.0,False
25,5.0,10681923737,218308131,535.2404574004254,535.2404574004254,0.0,0.1739728134658946,0.1739728134658946,0.0,False
26,5.0,4524178066,199651466,12390.298757403689,12425.943604764501,0.2876835180387664,0.20021113492940054,0.19696739869544938,1.6201577575068358,True
27,5.0,11267813276,2973570883,11092.341239912548,11926.308965483664,7.518410293494457,0.18626532961621972,0.1471912039153528,20.97766974743775,True
28,5.0,12324595302,12244768073,3423.1162055447235,3425.2358785190972,0.06192232010529906,0.11767705593239339,0.11744963864169344,0.19325542171160137,True
29,5.0,4464198679,11688082425,8736.05463416934,8736.05463416934,0.0,0.1857189244057312,0.1857189244057312,0.0,False
30,5.0,316479920,199456382,8912.607876733773,8913.16800239939,0.006284643881612989,0.1964786787389676,0.19644431061225925,0.017492038794705553,True
