caso,franja,distancia_base_m,distancia_alternativa_m,incremento_distancia_pct,ier_base,ier_alternativo,reduccion_ier_pct,ruta_cambio
21,Noche,14020.722700095603,15716.095945339359,12.091910534912698,0.48193448098513814,0.2583322974429005,46.39680130070068,True
22,Noche,10021.017343144165,10146.104049860647,1.2482435907773306,0.26753648807409053,0.24638962486747537,7.904291245969719,True
23,Noche,11142.59536955801,11262.41381066347,1.0753189641329657,0.394259208435732,0.3844536021341298,2.4870963294698956,True
24,Noche,6799.045367168021,6799.045367168021,0.0,0.08578930194010238,0.08578930194010238,0.0,False
25,Noche,535.2404574004254,535.2404574004254,0.0,0.21475498657970554,0.21475498657970554,0.0,False
26,Noche,12390.298757403689,12425.943604764501,0.2876835180387664,0.25439648551735355,0.2518738831147384,0.991602693521908,True
27,Noche,11092.341239912548,11227.000761495154,1.2139864675103267,0.2313264625838683,0.2208248704974705,4.5397279537746,True
28,Noche,3423.1162055447235,3423.1162055447235,0.0,0.15393578259861737,0.15393578259861737,0.0,False
29,Noche,8736.05463416934,8736.05463416934,0.0,0.22554371465941545,0.22554371465941545,0.0,False
30,Noche,8912.607876733773,8913.16800239939,0.006284643881612989,0.25391439565853113,0.2538715568658067,0.016871352493949006,True
